,Year,Amount,Use Chip,Errors?,Is Fraud?
0,2002,$134.09,Swipe Transaction,N/A,No
1,2002,$38.48,Swipe Transaction,N/A,No
2,2002,$120.34,Swipe Transaction,N/A,No
3,2002,$128.95,Swipe Transaction,N/A,No
4,2002,$104.71,Swipe Transaction,N/A,No
5,2002,$86.19,Swipe Transaction,N/A,No
6,2002,$93.84,Swipe Transaction,N/A,No
7,2002,$123.50,Swipe Transaction,N/A,No
8,2002,$61.72,Swipe Transaction,N/A,No
9,2002,$57.10,Swipe Transaction,N/A,No
10,2002,$76.07,Swipe Transaction,N/A,No
11,2002,$53.91,Online Transaction,N/A,No
12,2002,$110.37,Swipe Transaction,N/A,No
13,2002,$117.05,Swipe Transaction,N/A,No
14,2002,$45.30,Swipe Transaction,N/A,No
15,2002,$29.34,Swipe Transaction,N/A,No
16,2002,$147.45,Swipe Transaction,N/A,No
17,2002,$27.75,Swipe Transaction,N/A,No
18,2002,$76.57,Swipe Transaction,N/A,No
19,2002,$22.56,Swipe Transaction,N/A,No
20,2002,$37.50,Swipe Transaction,N/A,No
21,2002,$65.50,Swipe Transaction,Technical Glitch,No
22,2002,$56.42,Swipe Transaction,N/A,No
23,2002,$2.71,Swipe Transaction,N/A,No
24,2002,$144.90,Online Transaction,N/A,No
25,2002,$160.00,Swipe Transaction,N/A,No
26,2002,$102.18,Swipe Transaction,N/A,No
27,2002,$36.73,Swipe Transaction,N/A,No
28,2002,$29.33,Swipe Transaction,N/A,No
29,2002,$162.39,Swipe Transaction,N/A,No
30,2002,$34.40,Swipe Transaction,N/A,No
31,2002,$62.06,Swipe Transaction,N/A,No
32,2002,$-99.00,Swipe Transaction,N/A,No
33,2002,$99.00,Swipe Transaction,N/A,No
34,2002,$80.18,Swipe Transaction,N/A,No
35,2002,$122.10,Swipe Transaction,Insufficient Balance,No
36,2002,$92.76,Swipe Transaction,N/A,No
37,2002,$52.52,Swipe Transaction,N/A,No
38,2002,$1.13,Swipe Transaction,N/A,No
39,2002,$126.79,Swipe Transaction,N/A,No
40,2002,$44.41,Swipe Transaction,N/A,No
41,2002,$164.37,Swipe Transaction,N/A,No
42,2002,$12.76,Swipe Transaction,N/A,No
43,2002,$109.94,Swipe Transaction,N/A,No
44,2002,$126.29,Swipe Transaction,N/A,No
45,2002,$40.81,Swipe Transaction,N/A,No
46,2002,$81.35,Swipe Transaction,N/A,No
47,2002,$115.34,Swipe Transaction,N/A,No
48,2002,$44.25,Swipe Transaction,N/A,No
49,2002,$120.19,Swipe Transaction,Insufficient Balance,No
50,2002,$159.72,Swipe Transaction,N/A,No
51,2002,$128.85,Swipe Transaction,N/A,No
52,2002,$92.30,Swipe Transaction,N/A,No
53,2002,$168.11,Swipe Transaction,N/A,No
54,2002,$53.09,Swipe Transaction,N/A,No
